Date,Stock H
12/01/2023,92.361111
13/01/2023,92.460317
16/01/2023,94.494048
17/01/2023,96.329365
18/01/2023,94.642857
19/01/2023,95.188492
20/01/2023,95.188492
23/01/2023,94.394841
24/01/2023,96.974206
25/01/2023,96.279762
27/01/2023,98.809524
30/01/2023,99.900794
31/01/2023,99.05754
1/02/2023,100.24802
2/02/2023,101.14087
3/02/2023,103.91865
6/02/2023,101.33929
7/02/2023,99.007937
8/02/2023,99.107143
9/02/2023,97.867063
10/02/2023,98.115079
13/02/2023,98.462302
14/02/2023,98.660714
15/02/2023,98.263889
16/02/2023,100.34722
17/02/2023,98.611111
20/02/2023,98.214286
21/02/2023,97.271825
22/02/2023,97.718254
23/02/2023,98.115079
24/02/2023,99.05754
27/02/2023,96.72619
28/02/2023,98.511905
1/03/2023,96.378968
2/03/2023,96.130952
3/03/2023,95.039683
6/03/2023,97.073413
7/03/2023,97.718254
8/03/2023,97.916667
9/03/2023,97.271825
10/03/2023,95.634921
13/03/2023,94.940476
14/03/2023,95.039683
15/03/2023,94.543651
16/03/2023,95.337302
17/03/2023,94.146825
20/03/2023,91.468254
21/03/2023,92.013889
22/03/2023,91.815476
23/03/2023,91.617063
24/03/2023,91.517857
27/03/2023,93.452381
28/03/2023,93.799603
29/03/2023,93.005952
30/03/2023,92.559524
31/03/2023,93.204365
3/04/2023,95.386905
4/04/2023,96.329365
5/04/2023,95.238095
6/04/2023,93.551587
11/04/2023,94.940476
12/04/2023,95.238095
13/04/2023,96.527778
14/04/2023,95.138889
17/04/2023,96.329365
18/04/2023,95.188492
19/04/2023,93.650794
20/04/2023,95.138889
21/04/2023,94.742063
24/04/2023,95.982143
26/04/2023,96.378968
27/04/2023,95.585317
28/04/2023,95.78373
,
,
,
,
,
,
,
,
,
,
