Date,Stock E
26/01/2023,98.38214
27/01/2023,99.20261
30/01/2023,97.74813
31/01/2023,99.48232
1/02/2023,100.7876
2/02/2023,102.4472
3/02/2023,100.3214
6/02/2023,100.135
7/02/2023,99.57555
8/02/2023,100.1536
9/02/2023,99.61285
10/02/2023,99.22126
13/02/2023,99.79932
14/02/2023,100.135
15/02/2023,102.1302
16/02/2023,100.6944
17/02/2023,100.4706
21/02/2023,99.50096
22/02/2023,98.45672
23/02/2023,99.2772
24/02/2023,97.93461
27/02/2023,98.56861
28/02/2023,98.36349
1/03/2023,97.82272
2/03/2023,99.89255
3/03/2023,101.2538
6/03/2023,100.6198
7/03/2023,98.54996
8/03/2023,99.78067
9/03/2023,98.13972
10/03/2023,94.31707
13/03/2023,95.13754
14/03/2023,97.48707
15/03/2023,97.07684
16/03/2023,96.77848
17/03/2023,94.70866
20/03/2023,96.3869
21/03/2023,95.56642
22/03/2023,92.17265
23/03/2023,92.1913
24/03/2023,94.39166
27/03/2023,95.15619
28/03/2023,94.80189
29/03/2023,96.77848
30/03/2023,97.67355
31/03/2023,99.81238
3/04/2023,98.78049
4/04/2023,98.06754
5/04/2023,97.27955
6/04/2023,97.80488
10/04/2023,97.95497
11/04/2023,97.65478
12/04/2023,95.90994
13/04/2023,95.70356
14/04/2023,94.63415
17/04/2023,96.39775
18/04/2023,96.15385
19/04/2023,97.27955
20/04/2023,98.4803
21/04/2023,98.85553
24/04/2023,97.24203
25/04/2023,96.43527
26/04/2023,95.27205
27/04/2023,96.88555
28/04/2023,98.44278
,
,
,
,
,
,
,
,
,
,
